call,rank,analyst_sid_start,analyst_sid_end,musk_sid_start,musk_sid_end,analyst_speaker,analyst_neg_norm,musk_net_sent,divergence,analyst_text,musk_text
2021 Q1,1,149,149,153,153,Pierre Ferragu,0.0,0.0625,0.0625,"Okay. And I had a quick follow-up on -- maybe Zach for you on your Energy business. So I understand when I get to gross margin with Solar Roof ramp, but I was wondering, what do gross margin look like there when you look at the Storage business and where you -- what’s your ambition in terms of gross margin in that business? I guess it’s going to grow in the mix in coming years, so it’s important for long-term modeling?",We have a clear runway for improving the cost for the megawatt hours for the Megapack.
2021 Q1,2,172,172,173,173,Dan Levy,0.0104,0.0,0.0104,"Hi. Good evening. Thanks. Two questions. One is on COGS, I think, you have gotten from Battery Day a pretty good feel about the potential for COGS reduction related to Powertrain. But I’d like to get a sense of the path to reducing COGS ex-Powertrain as you would still need a meaningful reduction on that front to make the math work on a $25,000 vehicle. So what levers do you have to reduce in your cost ex-Powertrain, is it just more scale, better supply pricing or is it just based on ongoing cost reductions?",I think all of the above.
2021 Q1,3,136,136,137,138,Pierre Ferragu,0.0088,0.0159,0.0071,"Hi, guys. Thanks for taking my question. I’d love to get actually the data on what you presented on the Battery Day. In the last six, seven months, I was wondering how much progress you have made on that front, first in terms of process development. So how are things coming together on your pilot line, are you getting to the kind of productivity throughput you are aiming for? And second, actually on your production ramps, I was wondering in which size you are ramping production capacity cells with 4680 cell and where you stand on ramping up that capacity as well? And I have a quick follow-up on energy rate as well.","Well, so we have the -- I call it the Atlas, but we have a small cell power plant which is still big by normal standards. We expect to have like a 10-gigawatt-hour per year capability in Fremont, California and we have made quite a few cells. We are not quite yet at the point where we think the cells are reliable enough to be shipped in cars, but we are getting close to that point. And then we have already ordered most of the equipment for battery production in Berlin and then electric for Austin, as well. So we are really down to the nitty-gritty on this. But overall, I think, we are still quite optimistic about achieving volume production of the 4680 next year."
2021 Q1,4,140,140,143,143,Pierre Ferragu,0.0,0.0,0.0,Thank you.,"Yeah. And basically, this is just a guess because we don’t know for sure, but it appears as though we are about 12, probably, not more than 18 months away from volume production of the 4680. Now at the same time, we are actually trying to have our cell supply partners ramp up their supply as much as possible. So this is not something that is to the exclusion of suppliers. It is in conjunction with suppliers."
2021 Q1,5,157,157,158,158,Rod Lache,0.0,0.0,0.0,"Hi, everybody. I was hoping maybe just first, you could talk a little bit about how you are thinking about the rollout of version 9 of SSD and the transition of the subscription models. It sounds like some of this is about to roll out next month. I am not sure if that’s just a subscription model. But maybe you could just spend a little time talking about how impactful you expect that to be.","So go ahead, Zach."
2021 Q2,1,131,131,132,132,Pierre Ferragu,0.0081,-0.0333,0.0414,"Okay. Great. Thank you. And I have a quick question. I know, Elon, you don't think it's meaningful today, but I'd be curious to know if you have any thoughts about when you announced the new pricing on the FSD ring from 10,000 and thrown to 199 without looking. I'd be curious to understand how it's affected behavior in issues, so like a massive effect effect, affecting the service. And I'm not thinking about people looking at it as a message, but more to try the most advanced version of autopilots, and to try it. In the first days, even on the pricing, have you seen a very significant spike in the tech rate? And can you give us a sense of how big it was?","Okay. What you are asking, like if the FSD tech rate is too expensive and that's why we're doing subscription? Or -- I'm not sure if I understand your question correctly."
2021 Q2,2,109,109,110,110,Rod Lache,0.009,-0.0282,0.0372,"Hi everybody. Your cost of goods sold per vehicle's already down to the mid $37,000 range in the quarter, it's down $5,000 year-over-year, despite some of the inefficiencies that you talked about. And I know that a lot is going to change from here just given how mix is going to evolve. But if you're successful on the structural pack and front and rear castings in the launch of the 4680 cell, can you just maybe give us a sense of what a successful outcome would look like maybe a year from now. Obviously a lot has to go right. But just any kind of broad framework for us to think about.","Yes, it's really difficult for us to make specific predictions is very difficult. I think we felt confident of, say at least a few percent growth year-over-year next year. And maybe it's a 100%, but that's -- we need a lot of crystal balls to figure out exactly what it's going to be. And it is literally impossible to make a specific prediction. But at least 50, maybe a 100, something like that."
2021 Q2,3,133,133,135,135,Pierre Ferragu,0.0208,0.0,0.0208,"No, my question is from the time you announced the subscription at $199 the amounts, how much did like the take rate increase like the [Indiscernible] people who basically took the subscription about the new car. That is how it was when they had to pay 10 grand up front.","Yeah, I mean, we --"
2021 Q2,4,122,122,123,124,Pierre Ferragu,0.0175,0.0,0.0175,"Thanks very much for taking my question. I have another question, actually, on batteries, but on a slightly different angle. I was wondering how you're looking at your sourcing strategy for the 4680. You've talked a lot about all the work you're doing to develop your in-house production. But what about asking other battery manufacturers to do 4680 cell with their own technology? Maybe less innovation than what you guys are lining up internally, and I was wondering if the first 4680 cells that we see on the road will definitely come from Tesla's own manufacturing lines, or whether it could be coming actually from outside suppliers as well. And I have a quick follow-up.","Yeah. We are in fact working with our existing suppliers to produce 4680 format cells. And this is just a guess right now. But I see us consolidating around a 4680 nickel-based structural pack and -- for long-range vehicles, and then not necessarily a 4680 format, but some other format for iron-based cells. So right now, we kind of have the Baskin Robbins of batteries situation, where there's so many formats and so many chemistries, that it's like we've got like 36 flavors of battery at this point. This is just -- this results in an engineering drag coefficient where each variants of cell chemistry and format requires as to an amount of engineering to maintain it and troubleshoot and this inhibits our forward progress. So it is going to be important to consolidate to maybe -- ideally 2, 4 factors, maybe 3, but ideally 2. And then just 1 nickel chemistry and 1 iron chemistry and -- so we don't have to troubleshoot so many different variants."
2021 Q2,5,103,103,104,106,Colin Rusch,0.0,-0.0107,0.0107,"And then just the follow-up there is about the kin to the regulatory environment, keeping up with the technology. Are you seeing meaningful evolution in terms of the regulators really understanding the technology and beginning to set some standards here sometime in the near-term?","At least in the U.S. we don't see regulation as the fundamental limiter. We've obviously got to make it work and then demonstrate that the reliability is significantly in excess of the average human driver for it to be allowed -- use it without paying attention to the road. But I think we have a massive fleet. It will be, I think, straightforward to make the arguments on statistical grounds, just based on the number of interventions, especially in events that would result in a crash. At scale, it will have billions of miles of travel to be able to show that it is the safety of the car with Autopilot on is a 100% or 200% or more safer than the average human driver. At that point, I think would be unconscionable to not to allow autopilot because the car just becomes way less safe. It would be like ""shake the elevator"" analogy. Back in the day, we used to have elevator operators with a big switch that -- and they were to operate the elevator and move between floors. But they get tired or maybe drunk or something or distracted and every now and again, somebody would be kind of sheared in half between floors. That's kind of the situation we have with cars. Autonomy will become so safe that it will be unsafe to manually operate the car relatively speaking. And today [Indiscernible] just get in an elevator where we press the button for which floor we want and it just takes us there safely. And it would require alarming if those elevators were operated by a person with a giant switch. That's how we it would be with cars."
2021 Q4,1,91,91,92,92,Jed Dorsheimer,0.0,-0.0208,0.0208,"That's helpful. Thank you. So, you see that '22 is kind of the opening of that the energy business reaccelerating?","It's hard to predict 2022 because we still have lingering supply chain -- there are still lingering supply chain issues globally. But I think the chip stuff, at least the chip side of things appears to looks like it will alleviate end of this year or '23. I mean, there are a crazy number of chip fabs being built, which is great. The sheer number of chip fabs being built right now is exciting to see, yes. So, there could be other issues. We're trying to anticipate those as much as possible but predicting the future is difficult."
2021 Q4,2,120,120,121,121,Pierre Ferragu,0.0183,0.0,0.0183,"Okay. Thanks. And I have a quick follow-up on chips. So, you've talked a lot about all this shortage and the supply difficulties. And I was wondering if you could give us some color on like the power chips you need for investors and all the power systems you're putting together versus like the more traditional logic chips, if the situation is different between the two? And should we understand from the situation today that you're working very hard also at expanding the scope of your suppliers? And should we expect like Tesla to take on board additional suppliers in the near term, especially on the power side?","Well, last year was chip hell of many chips, so silicon carbide inverters certainly one of them, but..."
2021 Q4,3,88,88,89,90,Jed Dorsheimer,0.0115,0.0,0.0115,"Hi. Thanks, and congratulations on a great year. Elon, I guess, my question is around the Megapack or your energy business. And so, as we look at the strategy or the supply chain constraints that you mentioned, you have two different strategies or it seems like with Megapack and Powerwall. And I think the Powerwall was answered with 4680 and the 2170 opening up. So, I was wondering if you could just talk about the supply chain and LFP for the Megapack and what we should expect for that.","Yes. To be clear, we do think that old stationary storage, Powerwall and Megapack, will be -- will transition to an iron-based system, basically a non-nickel system. Manganese is also -- could be part of the future, but primarily iron. It just comes down -- iron nickel -- we need something that is formed in a star before a supernova, ideally. So iron is. So that's because there's a ridiculous amount of iron on earth as is a ridiculous amount of lithium. So, you can really expect all stationary storage to transition to iron over time. And like I said, with manganese is like a wildcard, manganese. And I should say like we did short-change the energy business last year and that vehicle took priority over the energy side. So not on cells, but on -- yes, on chipset, yes. So, we do see a very -- I mean, long-term probably terawatt-hour per year energy business. A lot -- it's very vast. Yes."
